id,value
id_0,25.7166605512
id_1,66.7482503883
id_2,20.3900725839
id_3,27.8507913394
id_4,9.6094910326
id_5,32.409129435
id_6,41.5036169677
id_7,14.5588340986
id_8,50.1533305223
id_9,33.9657384987
id_10,39.5406079392
id_11,57.3958327223
id_12,33.4211271854
id_13,37.2062393009
id_14,22.7327407837
id_15,11.9204560419
id_16,48.9350482971
id_17,21.323745424
id_18,15.0146526258
id_19,16.1147869357
id_20,14.945719634
id_21,26.8313598352
id_22,37.5990833651
id_23,11.0886505299
id_24,62.923329925
id_25,44.9781074671
id_26,26.3057079588
id_27,9.84744752442
id_28,31.026610408
id_29,36.6418736998
id_30,15.5595155794
id_31,11.2681227742
id_32,16.5687329734
id_33,3.73747324374
id_34,17.2667044804
id_35,38.2411495703
id_36,18.3174887048
id_37,27.6339916069
id_38,10.7367524862
id_39,64.1629619021
id_40,47.4277061729
id_41,18.9019051402
id_42,52.3328617992
id_43,18.8984694283
id_44,45.8492936356
id_45,49.8906152174
id_46,59.811377065
id_47,41.1731624461
id_48,52.211460569
id_49,39.3010981728
id_50,29.615572797
id_51,22.7626232313
id_52,41.3382301678
id_53,26.0208112314
id_54,38.4401375747
id_55,41.0987285945
id_56,24.1056502728
id_57,21.8971001392
id_58,35.9518942188
id_59,30.6980300804
id_60,13.1508161052
id_61,23.3590199414
id_62,31.4554614188
id_63,55.6760343758
id_64,50.5493303288
id_65,27.2517171983
id_66,38.1430899441
id_67,53.3897530769
id_68,27.6459275021
id_69,36.0394566074
id_70,64.6774389661
id_71,53.0909590347
id_72,44.4441869113
id_73,11.9127573542
id_74,10.7624862444
id_75,35.5731423548
id_76,63.3983738672
id_77,2.66458903081
id_78,41.5513823641
id_79,38.2833555109
id_80,8.45319441378
id_81,19.4643441664
id_82,7.66881796381
id_83,30.571122734
id_84,7.09060102485
id_85,8.85017909357
id_86,16.3186139911
id_87,11.2705676587
id_88,16.1575838687
id_89,25.8269772717
id_90,33.503212732
id_91,10.140987446
id_92,13.4129944097
id_93,7.72569169026
id_94,38.5402490318
id_95,17.9194042561
id_96,15.1850954558
id_97,7.43440347322
id_98,11.6823079593
id_99,7.13273191264
id_100,11.4187508632
id_101,20.0131138609
id_102,9.96706965083
id_103,8.85849231796
id_104,14.8851329597
id_105,36.2087079531
id_106,24.7524061321
id_107,8.53056448281
id_108,15.6514992171
id_109,16.9429663813
id_110,12.2679663655
id_111,15.2302314029
id_112,15.1381417299
id_113,25.0510481279
id_114,21.7528659093
id_115,16.0822444723
id_116,10.4215448587
id_117,44.5819526351
id_118,26.3780868815
id_119,3.13716150663
id_120,2.6531732643
id_121,7.98326253387
id_122,14.7508649677
id_123,12.441095224
id_124,7.18086926432
id_125,27.0004172748
id_126,21.0877287962
id_127,11.5962047952
id_128,17.2509367693
id_129,16.9485103922
id_130,3.36892392789
id_131,34.8055521823
id_132,15.5171699742
id_133,24.2894243672
id_134,23.8152022058
id_135,22.9072704028
id_136,11.3567125649
id_137,21.5936757493
id_138,81.3952562085
id_139,62.3698881022
id_140,30.3933504129
id_141,17.1509222899
id_142,23.6443441739
id_143,9.00135840026
id_144,12.6324959058
id_145,10.4181050828
id_146,19.965687083
id_147,8.94684598708
id_148,12.0317173508
id_149,16.6593825185
id_150,46.9483159177
id_151,18.9694011123
id_152,24.9444152274
id_153,13.7054149731
id_154,17.1882637302
id_155,25.6453037819
id_156,18.2505425176
id_157,34.8630163671
id_158,5.07707575361
id_159,17.3972222196
id_160,44.569091717
id_161,18.5476867655
id_162,59.5584463607
id_163,18.6692852736
id_164,37.1789694131
id_165,25.6587575005
id_166,21.2717050586
id_167,0.599071461185
id_168,67.5270555263
id_169,18.2114961868
id_170,17.8515760852
id_171,73.7884999423
id_172,18.8035401532
id_173,4.13996919836
id_174,25.4279720231
id_175,1.79973382316
id_176,8.57012474935
id_177,19.0040098291
id_178,20.9918433057
id_179,20.1699704203
id_180,44.8873992644
id_181,28.1426384555
id_182,28.0508572545
id_183,13.4592237935
id_184,5.76994032181
id_185,41.6078158035
id_186,37.0904357619
id_187,35.8238602074
id_188,14.1338843195
id_189,20.8274246
id_190,15.1533424453
id_191,15.7748413461
id_192,32.0708411281
id_193,76.1188076681
id_194,29.6026774558
id_195,12.0207793488
id_196,63.2917286128
id_197,19.0201805925
id_198,18.4767636125
id_199,21.8304584147
id_200,155.740025456
id_201,25.2749516437
id_202,59.4468656772
id_203,6.48040855306
id_204,60.0357194186
id_205,34.3456922555
id_206,13.7982821716
id_207,14.0358477169
id_208,68.6884656453
id_209,14.3106715166
id_210,30.8212548757
id_211,71.8999436352
id_212,22.2566727336
id_213,93.9648149248
id_214,39.7503814322
id_215,79.7777113861
id_216,105.258310261
id_217,76.6953552493
id_218,30.1810910194
id_219,18.4767822646
id_220,31.3152607742
id_221,54.7799511465
id_222,26.48621073
id_223,40.0866795645
id_224,43.1544612755
id_225,6.59576807126
id_226,2.94088446035
id_227,78.3391655748
id_228,26.6112793785
id_229,1.29745676445
id_230,40.9969233403
id_231,12.7352688612
id_232,20.8009340049
id_233,5.02545919823
id_234,14.035172827
id_235,20.9823973851
id_236,13.2914960335
id_237,-0.236849253905
id_238,22.6638906941
id_239,3.6629860189
